,body_neg,body_neu,body_pos,body_com,title_neg,title_neu,title_pos,title_com,Title Length,Body Length,Total Length,Title Emoji,Body Emoji,Title Ellipses,Body Ellipses,Title Hashtags,Body Hashtags,Title Exclamations,Body Exclamations,Status Rank,# Reviews,Target Rating
6704,0.136,0.739,0.125,-0.564,0.0,1.0,0.0,0.0,2,256,258,0,0,0,0,0,0,0,0,1,1,1
6705,0.016,0.732,0.252,0.9834,0.0,1.0,0.0,0.0,2,136,138,0,0,0,0,0,0,0,1,0,7,4
6706,0.016,0.732,0.252,0.9834,0.0,1.0,0.0,0.0,2,136,138,0,0,0,0,0,0,0,1,0,7,4
6707,0.0,0.47,0.53,0.9281,0.0,1.0,0.0,0.0,3,22,25,0,0,0,0,0,0,0,0,2,1,5
6709,0.141,0.766,0.093,-0.9136,0.0,1.0,0.0,0.0,8,228,236,0,0,0,0,0,0,0,0,0,1,1
6710,0.209,0.64,0.151,-0.25,0.0,1.0,0.0,0.0,3,15,18,0,0,0,0,0,0,0,0,0,1,1
6711,0.209,0.64,0.151,-0.25,0.0,1.0,0.0,0.0,3,15,18,0,0,0,0,0,0,0,0,0,1,1
6712,0.0,0.484,0.516,0.4927,0.0,0.256,0.744,0.4404,2,5,7,0,0,0,0,0,0,0,0,0,1,5
6713,0.0,0.674,0.326,0.9544,0.0,0.603,0.397,0.5095,6,45,51,0,0,0,0,0,0,0,0,0,2,5
6715,0.0,0.693,0.307,0.6115,0.0,0.5,0.5,0.6115,5,13,18,0,1,0,0,0,0,0,0,3,1,5
6717,0.0,0.559,0.441,0.7956,0.0,0.238,0.762,0.4927,3,13,16,0,0,0,0,0,0,0,0,2,1,5
6720,0.625,0.375,0.0,-0.7698,0.369,0.631,0.0,-0.6249,9,7,16,0,0,0,0,0,0,0,0,0,1,1
6721,0.0,0.414,0.586,0.7956,0.0,0.318,0.682,0.6478,3,8,11,3,3,0,0,0,0,0,0,0,1,5
6722,0.0,0.527,0.473,0.6697,0.0,1.0,0.0,0.0,3,6,9,0,0,0,0,0,0,0,0,3,1,5
6723,0.058,0.846,0.096,0.8757,0.0,1.0,0.0,0.0,13,244,257,0,0,0,0,0,0,0,0,0,2,2
6724,0.0,0.348,0.652,0.8537,0.0,0.379,0.621,0.762,6,9,15,0,0,0,0,0,0,0,0,2,1,5
6725,0.26,0.74,0.0,-0.7167,0.0,1.0,0.0,0.0,9,24,33,0,0,0,0,0,0,0,0,0,1,1
6726,0.0,0.716,0.284,0.4902,0.0,1.0,0.0,0.0,2,11,13,0,0,0,0,0,0,0,0,1,1,5
6729,0.291,0.659,0.05,-0.8218,0.299,0.646,0.055,-0.7923,23,24,47,0,0,0,0,0,0,0,0,0,1,1
6730,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,11,20,0,2,0,0,0,0,0,0,0,1,1
6731,0.0,0.867,0.133,0.6468,0.0,0.313,0.687,0.6588,4,31,35,0,0,0,0,0,0,1,1,3,1,5
6732,0.097,0.805,0.098,-0.198,0.0,1.0,0.0,0.0,12,237,249,0,0,1,1,0,0,0,0,0,1,1
6733,0.042,0.796,0.162,0.9095,0.0,1.0,0.0,0.0,13,122,135,0,0,0,0,0,0,1,3,0,1,1
6734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,9,0,0,0,0,0,0,0,1,3,1,5
6736,0.0,0.51,0.49,0.9687,0.0,0.377,0.623,0.5106,3,36,39,0,0,0,0,0,0,0,4,3,1,5
6738,0.082,0.787,0.13,0.7717,0.0,1.0,0.0,0.0,5,114,119,0,0,0,0,0,0,0,0,2,1,5
6739,0.0,0.864,0.136,0.6369,0.0,1.0,0.0,0.0,7,43,50,0,0,0,0,0,0,0,0,0,1,5
6740,0.0,0.629,0.371,0.8338,0.0,0.642,0.358,0.4201,6,22,28,0,0,0,0,0,0,0,0,0,1,5
6749,0.133,0.689,0.178,0.4767,0.0,1.0,0.0,0.0,5,63,68,0,0,0,0,0,0,0,0,1,1,1
6750,0.133,0.689,0.178,0.4767,0.0,1.0,0.0,0.0,5,63,68,0,0,0,0,0,0,0,0,1,1,1
6751,0.197,0.722,0.081,-0.8462,0.161,0.839,0.0,-0.0387,7,66,73,0,0,0,0,0,0,0,0,3,1,1
6758,0.0,0.839,0.161,0.5367,0.0,0.244,0.756,0.4754,2,23,25,0,0,0,0,0,0,0,0,0,1,5
6784,0.0,0.645,0.355,0.854,1.0,0.0,0.0,-0.0258,1,23,24,0,0,0,0,0,0,0,0,0,1,4
6786,0.0,0.694,0.306,0.4753,0.0,1.0,0.0,0.0,3,11,14,0,0,0,0,0,0,0,1,2,1,5
6805,0.0,0.719,0.281,0.9022,0.0,0.36,0.64,0.7964,6,40,46,0,0,0,0,0,0,0,0,0,1,5
6810,0.171,0.829,0.0,-0.8641,1.0,0.0,0.0,-0.5719,1,92,93,0,0,0,0,0,0,0,0,0,1,1
6811,0.353,0.647,0.0,-0.5994,0.524,0.476,0.0,-0.296,3,11,14,0,0,0,0,0,0,0,0,0,3,1
6812,0.128,0.807,0.065,-0.4215,0.0,1.0,0.0,0.0,7,44,51,0,0,0,0,0,0,0,0,2,1,4
6813,0.0,0.868,0.132,0.4404,0.0,1.0,0.0,0.0,8,25,33,0,0,0,0,0,0,0,0,0,1,5
6816,0.374,0.495,0.131,-0.6597,0.74,0.26,0.0,-0.6908,4,15,19,0,0,0,0,0,0,0,0,0,1,1
6818,0.414,0.444,0.143,-0.6697,0.557,0.443,0.0,-0.7425,7,14,21,0,0,0,0,0,0,0,0,0,1,1
6819,0.414,0.444,0.143,-0.6697,0.557,0.443,0.0,-0.7425,7,14,21,0,0,0,0,0,0,0,0,0,1,1
6820,0.0,0.918,0.082,0.3818,0.0,1.0,0.0,0.0,6,37,43,0,0,0,0,0,0,0,0,2,1,5
6821,0.0,0.528,0.472,0.891,0.0,0.58,0.42,0.4404,6,22,28,0,0,0,0,0,0,0,0,0,2,5
6822,0.0,0.538,0.462,0.8221,0.0,1.0,0.0,0.0,2,16,18,0,0,0,0,0,0,0,1,0,1,5
6823,0.201,0.692,0.107,-0.9314,0.0,1.0,0.0,0.0,2,136,138,0,0,0,0,0,0,0,0,1,1,1
6824,0.201,0.692,0.107,-0.9314,0.0,1.0,0.0,0.0,2,136,138,0,0,0,0,0,0,0,0,1,1,1
6827,0.0,0.668,0.332,0.9312,0.0,1.0,0.0,0.0,2,38,40,0,0,0,0,0,0,0,1,2,1,5
6829,0.0,0.802,0.198,0.7506,0.0,1.0,0.0,0.0,5,30,35,0,0,0,0,0,0,0,0,0,1,1
6831,0.25,0.661,0.089,-0.7251,0.372,0.213,0.415,0.1027,4,40,44,0,0,0,0,0,0,0,0,0,1,1
6832,0.25,0.661,0.089,-0.7251,0.372,0.213,0.415,0.1027,4,40,44,0,0,0,0,0,0,0,0,0,1,1
6833,0.069,0.603,0.328,0.8881,0.0,0.506,0.494,0.5994,6,33,39,0,0,0,0,0,0,0,2,2,1,5
6835,0.141,0.829,0.03,-0.8378,0.0,1.0,0.0,0.0,2,87,89,0,0,0,0,0,0,0,1,0,1,1
6837,0.06,0.413,0.528,0.9708,0.0,0.128,0.872,0.7783,3,36,39,0,0,0,0,0,0,0,4,3,2,4
6838,0.0,0.533,0.467,0.9412,0.0,0.406,0.594,0.6588,5,28,33,0,0,0,0,0,0,1,1,3,1,5
6839,0.0,0.562,0.438,0.5994,0.0,0.562,0.438,0.5994,6,7,13,0,1,0,0,0,0,0,0,0,7,5
6840,0.0,0.471,0.529,0.6688,0.0,0.339,0.661,0.5994,3,7,10,0,0,0,0,0,0,0,2,3,1,5
6842,0.0,0.218,0.782,0.8016,0.0,0.339,0.661,0.5994,3,6,9,0,0,0,0,0,0,0,1,2,1,5
6843,0.0,0.681,0.319,0.9364,0.0,0.157,0.843,0.6566,4,53,57,0,0,0,0,0,0,0,0,3,1,5
6844,0.0,0.596,0.404,0.8585,0.0,0.562,0.438,0.5994,6,21,27,0,0,0,0,0,0,0,2,0,1,5
6845,0.0,0.57,0.43,0.7772,0.0,0.0,1.0,0.5972,3,14,17,0,0,0,0,0,0,2,2,3,1,5
6846,0.0,0.588,0.412,0.8553,0.0,0.642,0.358,0.5994,8,18,26,0,3,0,0,0,0,0,1,0,2,5
6847,0.0,0.231,0.769,0.8748,0.0,0.128,0.872,0.7783,3,8,11,0,0,0,0,0,0,0,1,2,1,5
6848,0.0,0.316,0.684,0.9184,0.0,0.0,1.0,0.7845,2,11,13,0,0,0,0,0,0,0,1,3,1,5
